frame_id,pedestrianId,X,Y,W,H,conf,Xt,Yt
62.00,7.00,397.00,339.00,84.00,229.00,0.97,483.015,1375.49
63.00,7.00,400.00,338.00,83.00,227.00,0.96,484.65,1369.89
64.00,7.00,401.00,337.00,84.00,226.00,0.98,485.62,1366.15
65.00,7.00,402.00,336.00,84.00,225.00,0.99,486.23,1362.39
66.00,7.00,402.00,334.00,83.00,223.00,0.99,485.625,1354.87
67.00,7.00,401.00,332.00,84.00,222.00,0.99,485.075,1349.2
68.00,7.00,401.00,330.00,84.00,221.00,0.98,484.89,1343.52
69.00,7.00,401.00,330.00,83.00,221.00,0.99,484.525,1343.52
70.00,7.00,401.00,328.00,84.00,221.00,0.98,484.77,1339.72
71.00,7.00,401.00,326.00,84.00,221.00,0.97,484.65,1335.91
72.00,7.00,403.00,326.00,84.00,221.00,0.98,486.12,1335.91
73.00,7.00,404.00,324.00,83.00,223.00,0.98,486.49,1335.91
74.00,7.00,404.00,322.00,83.00,224.00,0.98,486.425,1334
75.00,7.00,404.00,321.00,82.00,226.00,0.98,486.12,1335.91
76.00,7.00,404.00,319.00,82.00,227.00,0.98,486.06,1334
77.00,7.00,406.00,319.00,82.00,228.00,0.98,487.59,1335.91
78.00,7.00,407.00,317.00,81.00,229.00,0.98,487.9,1334
79.00,7.00,407.00,315.00,80.00,230.00,0.98,487.475,1332.09
80.00,7.00,407.00,315.00,79.00,231.00,0.98,487.165,1334
81.00,7.00,407.00,314.00,80.00,231.00,0.98,487.475,1332.09
82.00,7.00,409.00,313.00,79.00,231.00,0.98,488.515,1330.18
83.00,7.00,410.00,314.00,80.00,230.00,0.97,489.62,1330.18
84.00,7.00,413.00,315.00,79.00,227.00,0.96,491.345,1326.35
85.00,7.00,414.00,317.00,79.00,223.00,0.92,491.97,1322.51
86.00,7.00,414.00,315.00,79.00,222.00,0.96,491.795,1316.74
87.00,7.00,414.00,312.00,80.00,220.00,0.98,491.875,1307.07
88.00,7.00,416.00,311.00,80.00,219.00,0.99,493.245,1303.19
89.00,7.00,417.00,308.00,80.00,219.00,0.99,493.815,1297.36
90.00,7.00,420.00,307.00,79.00,220.00,0.99,495.68,1297.36
91.00,7.00,421.00,307.00,79.00,220.00,0.99,496.42,1297.36
92.00,7.00,421.00,306.00,78.00,221.00,0.99,496.05,1297.36
93.00,7.00,418.00,305.00,78.00,221.00,0.99,493.765,1295.41
94.00,7.00,419.00,305.00,78.00,222.00,0.99,494.56,1297.36
95.00,7.00,420.00,304.00,77.00,222.00,0.98,494.875,1295.41
96.00,7.00,420.00,302.00,76.00,222.00,0.98,494.395,1291.5
97.00,7.00,422.00,301.00,76.00,222.00,0.98,495.83,1289.55
98.00,7.00,423.00,301.00,75.00,222.00,0.98,496.2,1289.55
99.00,7.00,421.00,300.00,75.00,222.00,0.99,494.655,1287.59
100.00,7.00,422.00,299.00,75.00,223.00,0.98,495.4,1287.59
101.00,7.00,420.00,297.00,75.00,224.00,0.98,493.85,1285.62
102.00,7.00,420.00,295.00,76.00,224.00,0.97,494.115,1281.7
103.00,7.00,419.00,292.00,76.00,224.00,0.97,493.195,1275.79
104.00,7.00,421.00,292.00,76.00,221.00,0.97,494.52,1269.86
105.00,7.00,420.00,292.00,76.00,219.00,0.98,493.655,1265.89
106.00,7.00,420.00,292.00,77.00,218.00,0.98,493.975,1263.91
107.00,7.00,419.00,292.00,78.00,217.00,0.98,493.54,1261.92
108.00,7.00,419.00,292.00,78.00,216.00,0.97,493.48,1259.93
109.00,7.00,419.00,292.00,78.00,215.00,0.98,493.425,1257.94
110.00,7.00,419.00,290.00,78.00,215.00,0.97,493.31,1253.95
111.00,7.00,419.00,290.00,79.00,215.00,0.97,493.685,1253.95
112.00,7.00,419.00,290.00,79.00,215.00,0.98,493.685,1253.95
113.00,7.00,419.00,290.00,80.00,214.00,0.98,494,1251.95
114.00,7.00,419.00,290.00,80.00,214.00,0.97,494,1251.95
115.00,7.00,422.00,290.00,80.00,214.00,0.97,496.26,1251.95
116.00,7.00,423.00,290.00,80.00,213.00,0.97,496.955,1249.95
117.00,7.00,423.00,286.00,79.00,214.00,0.97,496.415,1243.93
118.00,7.00,423.00,283.00,79.00,216.00,0.98,496.355,1241.92
119.00,7.00,423.00,280.00,79.00,216.00,0.99,496.19,1235.88
120.00,7.00,423.00,278.00,77.00,217.00,0.99,495.38,1233.86
121.00,7.00,423.00,277.00,77.00,218.00,0.98,495.38,1233.86
122.00,7.00,420.00,275.00,77.00,218.00,0.98,492.99,1229.81
123.00,7.00,419.00,273.00,76.00,218.00,0.99,491.74,1225.75
124.00,7.00,419.00,272.00,76.00,218.00,0.98,491.675,1223.72
125.00,7.00,421.00,271.00,76.00,218.00,0.98,493.14,1221.69
126.00,7.00,420.00,269.00,76.00,218.00,0.97,492.26,1217.62
127.00,7.00,419.00,269.00,75.00,218.00,0.97,491.125,1217.62
128.00,7.00,419.00,268.00,75.00,219.00,0.98,491.125,1217.62
129.00,7.00,419.00,268.00,75.00,220.00,0.98,491.18,1219.66
130.00,7.00,419.00,268.00,75.00,220.00,0.98,491.18,1219.66
131.00,7.00,419.00,267.00,75.00,221.00,0.97,491.18,1219.66
132.00,7.00,419.00,267.00,75.00,221.00,0.97,491.18,1219.66
133.00,7.00,416.00,265.00,76.00,222.00,0.98,489.22,1217.61
134.00,7.00,415.00,265.00,76.00,223.00,0.98,488.52,1219.65
135.00,7.00,418.00,265.00,75.00,223.00,0.97,490.42,1219.65
136.00,7.00,416.00,263.00,74.00,223.00,0.97,488.4,1215.57
137.00,7.00,415.00,263.00,74.00,222.00,0.96,487.58,1213.53
138.00,7.00,415.00,261.00,74.00,222.00,0.95,487.455,1209.44
139.00,7.00,415.00,260.00,74.00,220.00,0.92,487.27,1203.28
140.00,7.00,415.00,262.00,74.00,218.00,0.93,487.27,1203.28
141.00,7.00,415.00,259.00,75.00,216.00,0.94,487.34,1192.97
142.00,7.00,413.00,258.00,76.00,215.00,0.97,486.065,1188.83
143.00,7.00,412.00,257.00,76.00,213.00,0.97,485.11,1182.6
144.00,7.00,412.00,256.00,77.00,212.00,0.97,485.365,1178.44
145.00,7.00,412.00,253.00,77.00,212.00,0.96,485.175,1172.17
146.00,7.00,409.00,250.00,77.00,213.00,0.95,482.735,1167.98
147.00,7.00,409.00,248.00,77.00,214.00,0.93,482.665,1165.88
148.00,7.00,408.00,247.00,77.00,215.00,0.94,481.895,1165.88
149.00,7.00,409.00,247.00,77.00,216.00,0.97,482.735,1167.98
150.00,7.00,411.00,248.00,77.00,217.00,0.97,484.405,1172.17
151.00,7.00,412.00,247.00,76.00,217.00,0.98,484.725,1170.08
152.00,7.00,411.00,247.00,76.00,218.00,0.97,484.02,1172.17
153.00,7.00,410.00,247.00,77.00,219.00,0.97,483.7,1174.26
154.00,7.00,414.00,247.00,77.00,219.00,0.97,486.775,1174.27
155.00,7.00,416.00,245.00,76.00,220.00,0.93,487.865,1172.18
156.00,7.00,417.00,242.00,75.00,220.00,0.95,488.07,1165.9
157.00,7.00,414.00,241.00,75.00,220.00,0.93,485.69,1163.79
158.00,7.00,415.00,239.00,74.00,220.00,0.92,485.955,1159.59
159.00,7.00,416.00,239.00,74.00,220.00,0.92,486.725,1159.59
160.00,7.00,416.00,238.00,74.00,219.00,0.87,486.595,1155.37
161.00,7.00,416.00,239.00,74.00,216.00,0.91,486.47,1151.15
162.00,7.00,416.00,237.00,74.00,215.00,0.91,486.28,1144.79
163.00,7.00,416.00,237.00,74.00,214.00,0.92,486.215,1142.67
164.00,7.00,416.00,235.00,75.00,214.00,0.91,486.48,1138.41
165.00,7.00,416.00,234.00,75.00,214.00,0.93,486.415,1136.28
166.00,7.00,416.00,234.00,75.00,213.00,0.93,486.35,1134.14
167.00,7.00,416.00,235.00,75.00,213.00,0.92,486.415,1136.28
168.00,7.00,415.00,235.00,76.00,213.00,0.93,486.025,1136.28
169.00,7.00,415.00,235.00,76.00,213.00,0.91,486.025,1136.28
170.00,7.00,415.00,235.00,76.00,213.00,0.93,486.025,1136.28
171.00,7.00,415.00,235.00,77.00,213.00,0.93,486.415,1136.28
172.00,7.00,415.00,235.00,76.00,212.00,0.88,485.96,1134.14
173.00,7.00,415.00,237.00,76.00,211.00,0.8,486.025,1136.28
174.00,7.00,413.00,233.00,76.00,211.00,0.88,484.21,1127.72
175.00,7.00,412.00,231.00,77.00,211.00,0.89,483.69,1123.42
176.00,7.00,414.00,228.00,76.00,210.00,0.86,484.6,1114.82
177.00,7.00,413.00,228.00,76.00,210.00,0.9,483.82,1114.81
178.00,7.00,410.00,226.00,76.00,209.00,0.93,481.27,1108.32
179.00,7.00,411.00,223.00,76.00,208.00,0.9,481.785,1099.64
180.00,7.00,409.00,223.00,75.00,207.00,0.91,479.755,1097.45
181.00,7.00,409.00,221.00,75.00,207.00,0.89,479.615,1093.09
182.00,7.00,411.00,220.00,75.00,207.00,0.89,481.125,1090.91
183.00,7.00,410.00,218.00,75.00,207.00,0.9,480.2,1086.53
184.00,7.00,409.00,218.00,75.00,208.00,0.89,479.48,1088.72
185.00,7.00,409.00,218.00,75.00,208.00,0.89,479.48,1088.72
186.00,7.00,412.00,218.00,75.00,208.00,0.88,481.84,1088.73
187.00,7.00,413.00,219.00,74.00,208.00,0.87,482.305,1090.92
188.00,7.00,413.00,217.00,73.00,209.00,0.86,481.845,1088.73
189.00,7.00,413.00,217.00,73.00,209.00,0.85,481.845,1088.73
190.00,7.00,415.00,218.00,72.00,208.00,0.84,483.025,1088.74
191.00,7.00,414.00,218.00,72.00,208.00,0.83,482.24,1088.73
192.00,7.00,416.00,217.00,72.00,208.00,0.84,483.75,1086.55
193.00,7.00,416.00,216.00,73.00,208.00,0.86,484.075,1084.36
194.00,7.00,416.00,213.00,72.00,208.00,0.8,483.48,1077.76
195.00,7.00,419.00,212.00,72.00,208.00,0.82,485.785,1075.57
196.00,7.00,417.00,211.00,72.00,207.00,0.87,484.075,1071.15
197.00,7.00,419.00,211.00,72.00,206.00,0.87,485.595,1068.95
198.00,7.00,420.00,211.00,72.00,203.00,0.81,486.19,1062.3
199.00,7.00,420.00,206.00,72.00,204.00,0.79,485.925,1053.4
200.00,7.00,420.00,204.00,73.00,204.00,0.9,486.195,1048.93
201.00,7.00,420.00,202.00,73.00,205.00,0.88,486.13,1046.7
202.00,7.00,422.00,201.00,74.00,206.00,0.93,488.12,1046.7
203.00,7.00,423.00,201.00,73.00,207.00,0.91,488.585,1048.95
204.00,7.00,426.00,200.00,73.00,208.00,0.91,490.97,1048.96
205.00,7.00,427.00,200.00,72.00,208.00,0.92,491.37,1048.96
206.00,7.00,425.00,200.00,73.00,209.00,0.92,490.235,1051.19
207.00,7.00,423.00,201.00,73.00,209.00,0.93,488.71,1053.41
208.00,7.00,425.00,201.00,74.00,209.00,0.92,490.695,1053.42
209.00,7.00,426.00,201.00,74.00,208.00,0.93,491.43,1051.19
210.00,7.00,426.00,201.00,73.00,208.00,0.93,491.035,1051.19
211.00,7.00,426.00,200.00,73.00,208.00,0.92,490.97,1048.96
212.00,7.00,426.00,198.00,72.00,208.00,0.93,490.45,1044.48
213.00,7.00,426.00,197.00,72.00,208.00,0.9,490.385,1042.24
214.00,7.00,426.00,196.00,72.00,208.00,0.91,490.325,1039.99
215.00,7.00,426.00,192.00,72.00,209.00,0.86,490.135,1033.24
216.00,7.00,426.00,189.00,72.00,208.00,0.84,489.88,1024.2
217.00,7.00,428.00,188.00,72.00,207.00,0.91,491.355,1019.67
218.00,7.00,429.00,188.00,71.00,207.00,0.91,491.755,1019.68
219.00,7.00,429.00,186.00,71.00,206.00,0.91,491.57,1012.85
220.00,7.00,429.00,184.00,71.00,206.00,0.93,491.445,1008.29
221.00,7.00,429.00,181.00,70.00,208.00,0.93,490.98,1006
222.00,7.00,431.00,181.00,70.00,209.00,0.91,492.65,1008.3
223.00,7.00,432.00,180.00,69.00,210.00,0.94,493.055,1008.3
224.00,7.00,432.00,183.00,69.00,208.00,0.95,493.12,1010.58
225.00,7.00,432.00,186.00,69.00,207.00,0.95,493.24,1015.14
226.00,7.00,435.00,186.00,68.00,206.00,0.94,495.19,1012.88
227.00,7.00,433.00,183.00,67.00,207.00,0.91,493.055,1008.3
228.00,7.00,435.00,180.00,66.00,209.00,0.91,494.205,1006.03
229.00,7.00,435.00,178.00,66.00,211.00,0.9,494.205,1006.03
230.00,7.00,435.00,183.00,66.00,208.00,0.88,494.325,1010.6
231.00,7.00,435.00,185.00,66.00,205.00,0.92,494.26,1008.31
232.00,7.00,437.00,186.00,66.00,203.00,0.92,495.81,1006.04
233.00,7.00,438.00,178.00,66.00,205.00,0.93,496.26,992.27
234.00,7.00,442.00,173.00,66.00,206.00,0.92,499.25,983.05
235.00,7.00,440.00,170.00,67.00,207.00,0.93,497.92,978.41
236.00,7.00,439.00,168.00,68.00,208.00,0.93,497.455,976.08
237.00,7.00,441.00,174.00,69.00,204.00,0.92,499.6,980.73
238.00,7.00,442.00,176.00,69.00,202.00,0.91,500.41,980.73
239.00,7.00,442.00,177.00,70.00,199.00,0.92,500.7,976.09
240.00,7.00,445.00,177.00,71.00,198.00,0.9,503.48,973.78
241.00,7.00,446.00,175.00,71.00,198.00,0.91,504.185,969.13
242.00,7.00,446.00,175.00,71.00,198.00,0.92,504.185,969.13
243.00,7.00,446.00,174.00,71.00,198.00,0.91,504.125,966.8
244.00,7.00,445.00,174.00,71.00,197.00,0.9,503.26,964.46
245.00,7.00,445.00,174.00,71.00,197.00,0.89,503.26,964.46
246.00,7.00,445.00,173.00,71.00,197.00,0.88,503.2,962.12
247.00,7.00,447.00,173.00,71.00,197.00,0.91,504.83,962.13
248.00,7.00,448.00,172.00,70.00,197.00,0.89,505.18,959.79
249.00,7.00,448.00,171.00,69.00,197.00,0.9,504.72,957.45
250.00,7.00,448.00,171.00,69.00,197.00,0.91,504.72,957.45
251.00,7.00,450.00,169.00,68.00,197.00,0.9,505.83,952.76
252.00,7.00,451.00,169.00,67.00,196.00,0.9,506.185,950.41
253.00,7.00,452.00,165.00,67.00,195.00,0.91,506.725,938.61
254.00,7.00,449.00,164.00,67.00,195.00,0.9,504.215,936.22
255.00,7.00,448.00,163.00,68.00,194.00,0.91,503.69,931.47
256.00,7.00,450.00,163.00,68.00,194.00,0.91,505.335,931.48
257.00,7.00,448.00,164.00,68.00,192.00,0.9,503.635,929.09
258.00,7.00,450.00,164.00,68.00,192.00,0.86,505.275,929.1
259.00,7.00,451.00,164.00,68.00,191.00,0.89,506.045,926.72
260.00,7.00,453.00,163.00,68.00,191.00,0.84,507.635,924.35
261.00,7.00,452.00,162.00,68.00,191.00,0.82,506.755,921.95
262.00,7.00,454.00,160.00,68.00,192.00,0.81,508.35,919.58
263.00,7.00,454.00,160.00,68.00,192.00,0.74,508.35,919.58
264.00,7.00,457.00,161.00,67.00,191.00,0.8,510.405,919.59
265.00,7.00,458.00,163.00,66.00,190.00,0.83,510.87,921.99
266.00,7.00,458.00,165.00,64.00,189.00,0.83,510.1,924.38
267.00,7.00,458.00,164.00,64.00,189.00,0.86,510.045,921.99
268.00,7.00,461.00,163.00,63.00,189.00,0.82,512.05,919.62
269.00,7.00,458.00,157.00,63.00,189.00,0.63,509.265,905.19
270.00,7.00,460.00,154.00,64.00,189.00,0.62,511.17,897.96
271.00,7.00,461.00,152.00,63.00,190.00,0.7,511.53,895.55
272.00,7.00,461.00,151.00,63.00,190.00,0.8,511.48,893.12
273.00,7.00,461.00,150.00,64.00,189.00,0.77,511.795,888.27
274.00,7.00,461.00,148.00,64.00,189.00,0.79,511.685,883.4
275.00,7.00,458.00,147.00,65.00,188.00,0.76,509.5,878.5
276.00,7.00,459.00,147.00,64.00,189.00,0.85,509.975,880.95
277.00,7.00,460.00,147.00,64.00,189.00,0.89,510.805,880.95
278.00,7.00,461.00,148.00,65.00,190.00,0.87,512.155,885.83
279.00,7.00,461.00,146.00,65.00,190.00,0.87,512.05,880.96
280.00,7.00,461.00,146.00,64.00,191.00,0.83,511.685,883.4
281.00,7.00,461.00,146.00,63.00,191.00,0.79,511.27,883.4
282.00,7.00,461.00,144.00,63.00,191.00,0.84,511.165,878.52
283.00,7.00,457.00,144.00,63.00,191.00,0.85,507.84,878.49
284.00,7.00,456.00,142.00,63.00,191.00,0.83,506.9,873.59
285.00,7.00,455.00,142.00,63.00,192.00,0.86,506.125,876.03
286.00,7.00,455.00,141.00,63.00,191.00,0.87,506.01,871.14
287.00,7.00,456.00,140.00,63.00,191.00,0.85,506.785,868.69
288.00,7.00,454.00,139.00,63.00,190.00,0.84,505.01,863.76
289.00,7.00,453.00,137.00,64.00,190.00,0.79,504.47,858.82
290.00,7.00,452.00,135.00,65.00,191.00,0.83,503.995,856.34
291.00,7.00,450.00,134.00,67.00,191.00,0.81,503.1,853.86
292.00,7.00,449.00,133.00,67.00,190.00,0.83,502.15,848.9
293.00,7.00,449.00,131.00,68.00,190.00,0.79,502.45,843.93
294.00,7.00,447.00,131.00,69.00,190.00,0.79,501.19,843.91
295.00,7.00,449.00,131.00,70.00,190.00,0.73,503.29,843.93
296.00,7.00,447.00,130.00,70.00,191.00,0.76,501.61,843.91
297.00,7.00,447.00,129.00,71.00,191.00,0.76,501.97,841.43
298.00,7.00,449.00,129.00,70.00,192.00,0.78,503.29,843.93
299.00,7.00,450.00,130.00,70.00,192.00,0.7,504.185,846.42
300.00,7.00,451.00,130.00,69.00,192.00,0.66,504.605,846.43
301.00,7.00,449.00,130.00,70.00,191.00,0.73,503.29,843.93
302.00,7.00,448.00,130.00,70.00,192.00,0.76,502.51,846.41
303.00,7.00,449.00,130.00,69.00,192.00,0.67,502.93,846.41
304.00,7.00,450.00,130.00,69.00,191.00,0.61,503.71,843.93
305.00,7.00,451.00,127.00,69.00,191.00,0.6,504.375,836.47
306.00,7.00,453.00,126.00,67.00,192.00,0.64,505.215,836.48
307.00,7.00,454.00,125.00,65.00,192.00,0.77,505.16,833.99
308.00,7.00,457.00,124.00,64.00,191.00,0.82,507.15,829.01
309.00,7.00,456.00,124.00,63.00,191.00,0.83,505.89,829
310.00,7.00,455.00,123.00,63.00,190.00,0.82,504.935,823.98
311.00,7.00,456.00,119.00,62.00,190.00,0.72,505.13,813.91
312.00,7.00,455.00,120.00,62.00,189.00,0.74,504.28,813.9
313.00,7.00,454.00,118.00,63.00,190.00,0.71,503.8,811.37
314.00,7.00,451.00,117.00,65.00,190.00,0.68,502.045,808.82
315.00,7.00,450.00,117.00,65.00,190.00,0.67,501.2,808.81
316.00,7.00,449.00,116.00,66.00,191.00,0.69,500.78,808.8
317.00,7.00,447.00,114.00,67.00,191.00,0.7,499.38,803.72
318.00,7.00,446.00,113.00,67.00,191.00,0.66,498.47,801.17
319.00,7.00,446.00,112.00,68.00,192.00,0.62,498.895,801.17
320.00,7.00,446.00,111.00,69.00,193.00,0.65,499.32,801.17
321.00,7.00,447.00,110.00,69.00,193.00,0.7,500.105,798.63
322.00,7.00,447.00,111.00,68.00,193.00,0.72,499.745,801.18
323.00,7.00,447.00,112.00,67.00,193.00,0.6,499.38,803.72
324.00,7.00,445.00,111.00,68.00,192.00,0.64,497.99,798.62
325.00,7.00,444.00,109.00,68.00,192.00,0.62,497.01,793.51
326.00,7.00,446.00,109.00,69.00,192.00,0.66,499.135,793.53
327.00,7.00,447.00,109.00,69.00,192.00,0.71,499.99,793.54
328.00,7.00,448.00,107.00,69.00,192.00,0.81,500.72,788.44
329.00,7.00,448.00,105.00,69.00,191.00,0.84,500.535,780.75
330.00,7.00,443.00,102.00,71.00,192.00,0.72,497,775.57
331.00,7.00,441.00,101.00,72.00,192.00,0.68,495.65,772.98
332.00,7.00,440.00,101.00,73.00,191.00,0.66,495.16,770.39
333.00,7.00,437.00,98.00,73.00,191.00,0.63,492.4,762.61
334.00,7.00,436.00,97.00,73.00,191.00,0.59,491.47,760.01
335.00,7.00,436.00,98.00,72.00,190.00,0.64,491.045,760.01
336.00,7.00,436.00,98.00,72.00,190.00,0.69,491.045,760.01
337.00,7.00,436.00,96.00,72.00,191.00,0.68,490.98,757.41
338.00,7.00,437.00,95.00,72.00,192.00,0.73,491.835,757.42
339.00,7.00,437.00,95.00,73.00,192.00,0.72,492.26,757.42
340.00,7.00,435.00,96.00,73.00,192.00,0.7,490.615,760
341.00,7.00,434.00,94.00,74.00,193.00,0.72,490.12,757.39
342.00,7.00,431.00,93.00,76.00,194.00,0.78,488.4,757.37
343.00,7.00,433.00,95.00,77.00,193.00,0.76,490.615,759.98
344.00,7.00,434.00,94.00,76.00,193.00,0.8,490.975,757.39
345.00,7.00,434.00,92.00,76.00,194.00,0.79,490.91,754.79
346.00,7.00,434.00,91.00,74.00,194.00,0.77,489.98,752.19
347.00,7.00,437.00,90.00,74.00,194.00,0.66,492.49,749.61
348.00,7.00,436.00,89.00,73.00,193.00,0.65,491.07,744.38
349.00,7.00,437.00,88.00,73.00,191.00,0.67,491.73,736.53
350.00,7.00,438.00,87.00,72.00,191.00,0.7,492.09,733.91
351.00,7.00,438.00,86.00,72.00,190.00,0.66,491.96,728.65
352.00,7.00,438.00,86.00,72.00,189.00,0.64,491.89,726.01
353.00,7.00,438.00,87.00,71.00,188.00,0.65,491.46,726.01
354.00,7.00,438.00,87.00,70.00,188.00,0.67,491.03,726.01
355.00,7.00,438.00,87.00,70.00,187.00,0.63,490.96,723.37
356.00,7.00,438.00,86.00,69.00,187.00,0.6,490.465,720.73
357.00,7.00,441.00,86.00,68.00,187.00,0.63,492.625,720.76
358.00,7.00,439.00,86.00,68.00,187.00,0.6,490.895,720.74
359.00,7.00,441.00,86.00,68.00,187.00,0.52,492.625,720.76
360.00,7.00,442.00,86.00,68.00,187.00,0.51,493.49,720.77
361.00,7.00,442.00,80.00,67.00,189.00,0.56,492.79,710.16
362.00,7.00,442.00,77.00,67.00,190.00,0.59,492.66,704.84
363.00,7.00,442.00,76.00,66.00,191.00,0.59,492.225,704.84
364.00,7.00,444.00,81.00,64.00,189.00,0.62,493.29,712.83
365.00,7.00,443.00,79.00,64.00,189.00,0.58,492.29,707.51
366.00,7.00,442.00,78.00,63.00,189.00,0.59,490.92,704.84
367.00,7.00,442.00,79.00,63.00,188.00,0.65,490.92,704.84
368.00,7.00,441.00,78.00,63.00,188.00,0.65,489.985,702.16
369.00,7.00,438.00,77.00,64.00,188.00,0.64,487.74,699.46
370.00,7.00,440.00,75.00,63.00,189.00,0.61,488.975,696.8
371.00,7.00,443.00,79.00,62.00,187.00,0.52,491.285,702.18
372.00,7.00,447.00,79.00,62.00,186.00,0.53,494.7,699.54
373.00,7.00,449.00,79.00,61.00,185.00,0.52,495.94,696.89
374.00,7.00,449.00,79.00,61.00,184.00,0.4,495.875,694.21
375.00,7.00,447.00,79.00,62.00,184.00,0.41,494.565,694.19
376.00,7.00,448.00,79.00,62.00,183.00,0.4,495.375,691.52
377.00,7.00,448.00,73.00,62.00,184.00,0.36,495.045,678.06
378.00,7.00,448.00,74.00,63.00,183.00,0.43,495.48,678.06
379.00,7.00,450.00,74.00,64.00,182.00,0.49,497.605,675.38
380.00,7.00,451.00,72.00,63.00,183.00,0.45,497.98,672.68
381.00,7.00,454.00,71.00,62.00,183.00,0.45,500.105,670.01
